SpeciesID,SpeciesName,FunctionalGroup
138,Unknown 36 - Liatris spp. Red sheath astreacea,Forb
139,Galactia erecta,Legume
140,Quercus geminata,Tree
141,Unknown 37 - Hairy Basal Leaves Yellow Flower,Forb
142,Unknown 38 - Round Leaf Vaccinium,Woody
143,Unknown 39 - Brown Graminoid,Graminoid
144,Carya tomentosa,Tree
145,Oxydendrum arboreum,Tree
146,Magnolia virginiana,Tree
147,Unknown 40 - Wavy Leaf Tree,Tree
